Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,6.85221855992735E-05,0.00300506541580964,0.0285533608692841,0,0,0,5.02480920448184,0.00666958114537919,-4.99608236979039E-07,-1.26835438879039E-06,0.00584115414422138,-8.31079606591726E-05,0.00882636424755553,0,0,0,0,0,0,package://更新的夹爪（一半旋转）v1.0.SLDASM/meshes/base_link.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://更新的夹爪（一半旋转）v1.0.SLDASM/meshes/base_link.STL,,DOBOT CR3Model-1/CR3__ASM_1_ASM-1/CR3_2__CR30001_ASM_1_ASM_ASM_1__ASM-1/CR3_2__CR30001_ASM_1_ASM_8_ASM__ASM-1/CR3-BASE_2_1_1-1,base_frame,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,-0.00394441217062119,3.66733676391146E-05,0.0734439501083228,0,0,0,10.0955987179028,0.0152525548859726,1.25057032947325E-05,0.00197804972245726,0.0155945953498686,-3.37231918144003E-06,0.0141653659346607,0,0,0,0,0,0,package://更新的夹爪（一半旋转）v1.0.SLDASM/meshes/Link1.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://更新的夹爪（一半旋转）v1.0.SLDASM/meshes/Link1.STL,,DOBOT CR3Model-1/CR3__ASM_1_ASM-1/CR3_2__CR30001_ASM_1_ASM_ASM_1__ASM-1/CR3_2__CR30001_ASM_1_ASM_8_ASM__ASM-1/CR3-J1_ASM_3_ASM_1_ASM_1_ASM-1/1_-1038100_1_2_1_1-1;DOBOT CR3Model-1/CR3__ASM_1_ASM-1/CR3_2__CR30001_ASM_1_ASM_ASM_1__ASM-1/CR3_2__CR30001_ASM_1_ASM_8_ASM__ASM-1/CR3-J1_ASM_3_ASM_1_ASM_1_ASM-1/1_-309400_1_2_1_1-1,J1_frame,J1,J1,revolute,7.69363377688403E-05,0.000302533553753315,0.065,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
Link2,-0.0741752343141683,-1.41282862897163E-05,0.129232505286091,0,0,0,26.183938269223,0.0445233520164798,-3.26853219530061E-06,0.000659378810070619,0.0486879884674402,1.23527903399271E-05,0.0346935841892653,0,0,0,0,0,0,package://更新的夹爪（一半旋转）v1.0.SLDASM/meshes/Link2.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://更新的夹爪（一半旋转）v1.0.SLDASM/meshes/Link2.STL,,DOBOT CR3Model-1/CR3__ASM_1_ASM-1/CR3_2__CR30001_ASM_1_ASM_ASM_1__ASM-1/CR3_2__CR30001_ASM_1_ASM_8_ASM__ASM-1/CR3-J2_ASM_3_ASM_1_ASM_1_ASM-1/2_-968800_1_2_1_1-1;DOBOT CR3Model-1/CR3__ASM_1_ASM-1/CR3_2__CR30001_ASM_1_ASM_ASM_1__ASM-1/CR3_2__CR30001_ASM_1_ASM_8_ASM__ASM-1/CR3-J2_ASM_3_ASM_1_ASM_1_ASM-1/2_-379600_1_2_1_1-1;DOBOT CR3Model-1/CR3__ASM_1_ASM-1/CR3_2__CR30001_ASM_1_ASM_ASM_1__ASM-1/CR3_2__CR30001_ASM_1_ASM_8_ASM__ASM-1/CR3-J2_ASM_3_ASM_1_ASM_1_ASM-1/NONE_1_2_1_1-1;DOBOT CR3Model-1/CR3__ASM_1_ASM-1/CR3_2__CR30001_ASM_1_ASM_ASM_1__ASM-1/CR3_2__CR30001_ASM_1_ASM_8_ASM__ASM-1/CR3-J2_ASM_3_ASM_1_ASM_1_ASM-1/2_-10365500_1_2_1_1-1;DOBOT CR3Model-1/CR3__ASM_1_ASM-1/CR3_2__CR30001_ASM_1_ASM_ASM_1__ASM-1/CR3_2__CR30001_ASM_1_ASM_8_ASM__ASM-1/CR3-J2_ASM_3_ASM_1_ASM_1_ASM-1/2_-5654200_1_2_1_1-1,J2_frame,J2,J2,revolute,-0.0590002707759742,0,0.0697999999587383,0,0,0,Link1,-1,0,0,0,0,0,0,,,,,,,,
Link3,0.0522018200536015,1.21074217053485E-06,0.121124381348978,0,0,0,16.8666184464014,0.153033701271701,4.10873147276196E-07,0.00850167925770642,0.156931642965015,9.2648038620683E-07,0.0197017576009723,0,0,0,0,0,0,package://更新的夹爪（一半旋转）v1.0.SLDASM/meshes/Link3.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://更新的夹爪（一半旋转）v1.0.SLDASM/meshes/Link3.STL,,DOBOT CR3Model-1/CR3__ASM_1_ASM-1/CR3_2__CR30001_ASM_1_ASM_ASM_1__ASM-1/CR3_2__CR30001_ASM_1_ASM_8_ASM__ASM-1/CR3-J3_ASM_3_ASM_1_ASM_1_ASM-1/CR3-J3_CR3_2__CR30001_1_3_1_1-1;DOBOT CR3Model-1/CR3__ASM_1_ASM-1/CR3_2__CR30001_ASM_1_ASM_ASM_1__ASM-1/CR3_2__CR30001_ASM_1_ASM_8_ASM__ASM-1/CR3-J3_ASM_3_ASM_1_ASM_1_ASM-1/CR3-J32_CR3_2__CR30001_1_2_1_1-1,J3_frame,J3,J3,revolute,-0.00360000000000005,0,0.274008212697805,0,0,0,Link2,-1,0,0,0,0,0,0,,,,,,,,
Link4,-0.0461256816722646,1.2653017335551E-06,-0.00345159587811961,0,0,0,6.48533969016381,0.00765260336756786,3.17122167215653E-08,0.0010273013637534,0.00772982638107039,2.93392792730973E-08,0.00610923547860754,0,0,0,0,0,0,package://更新的夹爪（一半旋转）v1.0.SLDASM/meshes/Link4.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://更新的夹爪（一半旋转）v1.0.SLDASM/meshes/Link4.STL,,DOBOT CR3Model-1/CR3__ASM_1_ASM-1/CR3_2__CR30001_ASM_1_ASM_ASM_1__ASM-1/CR3_2__CR30001_ASM_1_ASM_8_ASM__ASM-1/CR3-J4_ASM_3_ASM_1_ASM_1_ASM-1/1_-5583500_1_2_1_1-1;DOBOT CR3Model-1/CR3__ASM_1_ASM-1/CR3_2__CR30001_ASM_1_ASM_ASM_1__ASM-1/CR3_2__CR30001_ASM_1_ASM_8_ASM__ASM-1/CR3-J4_ASM_3_ASM_1_ASM_1_ASM-1/1_-898100_1_2_1_1-1,J4_frame,J4,J4,revolute,-0.0167,0,0.229990512799193,0,0,0,Link3,1,0,0,0,0,0,0,,,,,,,,
Link5,0.00333134176644048,-2.03015121158501E-07,0.0461311047575832,0,0,0,6.49625678183132,0.00611803261470623,7.28832622509885E-08,0.00103099982540277,0.00776562624263479,1.17356621611127E-08,0.00768791051044422,0,0,0,0,0,0,package://更新的夹爪（一半旋转）v1.0.SLDASM/meshes/Link5.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://更新的夹爪（一半旋转）v1.0.SLDASM/meshes/Link5.STL,,DOBOT CR3Model-1/CR3__ASM_1_ASM-1/CR3_2__CR30001_ASM_1_ASM_ASM_1__ASM-1/CR3_2__CR30001_ASM_1_ASM_8_ASM__ASM-1/CR3-J5_ASM_3_ASM_1_ASM_1_ASM-1/1_-5443600_1_2_1_1-1;DOBOT CR3Model-1/CR3__ASM_1_ASM-1/CR3_2__CR30001_ASM_1_ASM_ASM_1__ASM-1/CR3_2__CR30001_ASM_1_ASM_8_ASM__ASM-1/CR3-J5_ASM_3_ASM_1_ASM_1_ASM-1/1_-10296000_1_2_1_1-1,J5_frame,J5,J5,revolute,-0.0489999380118297,0,0.0670000620559024,0,0,0,Link4,0,0,-1,0,0,0,0,,,,,,,,
Link6,-0.01535,-0.0796253333193645,4.44089209850063E-16,0,0,0,0.634071594787973,0.000492679192291505,-2.05840727175592E-20,2.65696564224512E-19,0.000342700673028841,-5.30783522277243E-20,0.000208492146415191,0,0,0,0,0,0,package://更新的夹爪（一半旋转）v1.0.SLDASM/meshes/Link6.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://更新的夹爪（一半旋转）v1.0.SLDASM/meshes/Link6.STL,,DOBOT CR3Model-1/CR3__ASM_1_ASM-1/CR3_2__CR30001_ASM_1_ASM_ASM_1__ASM-1/CR3_2__CR30001_ASM_1_ASM_8_ASM__ASM-1/CR3-J6_ASM_3_ASM_1_ASM_1_ASM-1/CR3-J6_CR3_2__CR30001_1_2_2_1_1-1,J6_frame,J6,J6,revolute,-0.0673000619881703,0,0.0488012124883614,0,0,0,Link5,1,0,0,0,0,0,0,,,,,,,,
gripper_base,-0.0525124309036244,8.31787860905153E-05,0.000179501010934002,0,0,0,0.717637530126163,0.000410461450405349,1.97326433273756E-08,1.19750041484873E-08,0.000517064315615614,1.87522500739624E-05,0.000402393983724621,0,0,0,0,0,0,package://更新的夹爪（一半旋转）v1.0.SLDASM/meshes/gripper_base.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://更新的夹爪（一半旋转）v1.0.SLDASM/meshes/gripper_base.STL,,机器人手爪LMG-90-1/2_10001_ASM-1/00-1;机器人手爪LMG-90-1/0002-1;机器人手爪LMG-90-1/2_10001_ASM-1/_0001-1;机器人手爪LMG-90-1/2_10001_ASM-1/0002-1;机器人手爪LMG-90-1/2_10001_ASM-1/_0004_ASM-1/_D8H1_00001-1;机器人手爪LMG-90-1/2_10001_ASM-1/_0004_ASM-1/IO0001_ASM-1/_10001-1;机器人手爪LMG-90-1/2_10001_ASM-1/_0004_ASM-1/IO0001_ASM-1/_5_8_0001-1;机器人手爪LMG-90-1/2_10001_ASM-1/_0004_ASM-1/_0005-1;机器人手爪LMG-90-1/2_10001_ASM-1/_0004_ASM-1/IO0001_ASM-1/_5_3_0001-1;机器人手爪LMG-90-1/2_10001_ASM-1/_0004_ASM-1/IO0001_ASM-1/_5_1_0001-1;机器人手爪LMG-90-1/2_10001_ASM-1/_0004_ASM-1/IO0001_ASM-1/_5_4_0001-1;机器人手爪LMG-90-1/2_10001_ASM-1/_0004_ASM-1/IO0001_ASM-1/_5_5_0001-1;机器人手爪LMG-90-1/2_10001_ASM-1/_0004_ASM-1/IO0001_ASM-1/_5_6_0001-1;机器人手爪LMG-90-1/2_10001_ASM-1/_0004_ASM-1/IO0001_ASM-1/_5_7_0001-1;机器人手爪LMG-90-1/2_10001_ASM-1/_0004_ASM-1/IO0001_ASM-1/_5_2_0001-1;机器人手爪LMG-90-1/2_10001_ASM-1/_0004_ASM-1/IO0001_ASM-1/_40001-1;机器人手爪LMG-90-1/2_10001_ASM-1/0003-1;机器人手爪LMG-90-1/2_10001_ASM-1/HEXAGON_SOCKET_COUNTERSU-244653-1;机器人手爪LMG-90-1/2_10001_ASM-1/HEXAGON_SOCKET_COUNTERSU-244653-2,griper_frame,Axis_gripper_joint,gripper_joint,fixed,-0.04770344,-1.42449850634441E-05,8.99392959963219E-05,0,0,0,Link6,0,0,0,,,,,,,,,,,,
Left_Link1,-0.00700744244341194,-0.00901059701971539,0.00739791864736694,0,0,0,0.0844595654791462,2.86688689237154E-05,-1.35297273822972E-06,6.91694077395783E-06,3.1807603382932E-05,1.61385622521548E-06,8.30229692190674E-06,0,0,0,0,0,0,package://更新的夹爪（一半旋转）v1.0.SLDASM/meshes/Left_Link1.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://更新的夹爪（一半旋转）v1.0.SLDASM/meshes/Left_Link1.STL,,机器人手爪LMG-90-1/2_10001_ASM-1/_0006_ASM-1/_0007-1,Left_link1_frame,Left_link1,Left_joint1,revolute,-0.08189656,0.00272089524104584,0.0256503801346519,0,0,0,gripper_base,0,-0.987688340595142,-0.156434465040207,0,0,0,0,,,,,,,,
Left_static1,-0.026731787041842,0.00222482362911726,-0.0141391118843792,0,0,0,0.081798281899798,3.57744923705614E-06,4.51657275362611E-07,-2.85152633127374E-06,1.63816116901597E-05,-1.04570702451501E-07,1.70253725758472E-05,0,0,0,0,0,0,package://更新的夹爪（一半旋转）v1.0.SLDASM/meshes/Left_static1.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://更新的夹爪（一半旋转）v1.0.SLDASM/meshes/Left_static1.STL,,机器人手爪LMG-90-1/2_10001_ASM-1/_0002_ASM-1/_0003-1;机器人手爪LMG-90-1/2_10001_ASM-1/100-1;机器人手爪LMG-90-1/2_10001_ASM-1/0005-2;机器人手爪LMG-90-1/2_10001_ASM-1/_0002_ASM-1/_M40001-1;机器人手爪LMG-90-1/2_10001_ASM-1/_0002_ASM-1/E-M40-1,Left_static1_frame,Left_static1,Left_static1_joint,revolute,-0.02693137046528,-0.0137583661684634,0.0440374686515492,0,0,0,Left_Link1,0,-0.987688340595141,-0.15643446504021,0,0,0,0,,,,,,,,
